靡ㄩ絏	虏嘿	るら	厨筍瞯
COID	Name	MDATE	ROI
Y9999  	舦计     	20170811	  -0.0016
Y9999  	舦计     	20170814	  -1.0096
Y9999  	舦计     	20170815	   0.8399
Y9999  	舦计     	20170816	  -0.2014
Y9999  	舦计     	20170817	   0.7675
Y9999  	舦计     	20170818	  -0.4633
Y9999  	舦计     	20170821	   0.0490
Y9999  	舦计     	20170822	   0.6360
Y9999  	舦计     	20170823	   0.1418
Y9999  	舦计     	20170824	   0.7894
Y9999  	舦计     	20170825	   0.2531
Y9999  	舦计     	20170828	   0.0996
Y9999  	舦计     	20170829	  -0.2794
Y9999  	舦计     	20170830	   0.6938
Y9999  	舦计     	20170831	   0.1550
Y9999  	舦计     	20170901	   0.0854
Y9999  	舦计     	20170904	  -0.2355
Y9999  	舦计     	20170905	   0.4538
Y9999  	舦计     	20170906	  -0.6591
Y9999  	舦计     	20170907	  -0.0886
Y9999  	舦计     	20170908	   0.6779
Y9999  	舦计     	20170911	  -0.3562
Y9999  	舦计     	20170912	   0.3612
Y9999  	舦计     	20170913	  -0.7301
Y9999  	舦计     	20170914	   0.1964
Y9999  	舦计     	20170915	   0.2543
Y9999  	舦计     	20170918	   0.4835
Y9999  	舦计     	20170919	  -0.5214
Y9999  	舦计     	20170920	  -0.5387
Y9999  	舦计     	20170921	   0.5634
Y9999  	舦计     	20170922	  -1.2172
Y9999  	舦计     	20170925	  -1.0889
Y9999  	舦计     	20170926	  -0.7631
Y9999  	舦计     	20170927	   0.6791
Y9999  	舦计     	20170928	  -0.2927
Y9999  	舦计     	20170929	   0.3253
Y9999  	舦计     	20170930	   0.5228
Y9999  	舦计     	20171002	   0.7822
Y9999  	舦计     	20171003	   0.0400
Y9999  	舦计     	20171005	   0.4673
Y9999  	舦计     	20171006	   0.1382
Y9999  	舦计     	20171011	   1.0290
Y9999  	舦计     	20171012	   0.6602
Y9999  	舦计     	20171013	   0.1181
Y9999  	舦计     	20171016	   0.4674
Y9999  	舦计     	20171017	  -0.4739
Y9999  	舦计     	20171018	  -0.0268
Y9999  	舦计     	20171019	   0.3732
Y9999  	舦计     	20171020	  -0.2919
Y9999  	舦计     	20171023	   0.0590
Y9999  	舦计     	20171024	   0.0798
Y9999  	舦计     	20171025	   0.0632
Y9999  	舦计     	20171026	  -0.1471
Y9999  	舦计     	20171027	  -0.2389
Y9999  	舦计     	20171030	   0.4460
Y9999  	舦计     	20171031	   0.3433
Y9999  	舦计     	20171101	   0.1164
Y9999  	舦计     	20171102	  -0.1652
Y9999  	舦计     	20171103	   0.1136
Y9999  	舦计     	20171106	  -0.1350
Y9999  	舦计     	20171107	   0.5020
Y9999  	舦计     	20171108	  -0.1969
Y9999  	舦计     	20171109	  -0.6999
Y9999  	舦计     	20171110	  -0.0987
Y9999  	舦计     	20171113	  -0.4542
Y9999  	舦计     	20171114	   0.0305
Y9999  	舦计     	20171115	  -0.5290
Y9999  	舦计     	20171116	  -0.0528
Y9999  	舦计     	20171117	   0.7209
Y9999  	舦计     	20171120	  -0.3466
Y9999  	舦计     	20171121	   1.0754
Y9999  	舦计     	20171122	   0.4022
Y9999  	舦计     	20171123	   0.2955
Y9999  	舦计     	20171124	  -0.0044
Y9999  	舦计     	20171127	  -0.9504
Y9999  	舦计     	20171128	  -0.4080
Y9999  	舦计     	20171129	   0.0605
Y9999  	舦计     	20171130	  -1.4291
Y9999  	舦计     	20171201	   0.3781
Y9999  	舦计     	20171204	   0.4787
Y9999  	舦计     	20171205	  -0.7911
Y9999  	舦计     	20171206	  -1.6365
Y9999  	舦计     	20171207	  -0.3671
Y9999  	舦计     	20171208	   0.4139
Y9999  	舦计     	20171211	   0.7162
Y9999  	舦计     	20171212	  -0.2846
Y9999  	舦计     	20171213	   0.2626
Y9999  	舦计     	20171214	   0.6428
Y9999  	舦计     	20171215	  -0.4419
Y9999  	舦计     	20171218	   0.1437
Y9999  	舦计     	20171219	  -0.3729
Y9999  	舦计     	20171220	   0.3552
Y9999  	舦计     	20171221	  -0.1480
Y9999  	舦计     	20171222	   0.4605
Y9999  	舦计     	20171225	  -0.1403
Y9999  	舦计     	20171226	  -0.9559
Y9999  	舦计     	20171227	   0.6214
Y9999  	舦计     	20171228	   0.7721
Y9999  	舦计     	20171229	   0.7118
